"name","price","address"
"[Sale 8.8] Điện thoại OPPO A54 4GB/128GB - Hàng chính hãng","3.590.000 ₫","Hồ Chí Minh"
"Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HHZ - Hàng Chính Hãng - Bảo hành 13 Tháng","3.990.000 ₫","Hồ Chí Minh"
"[Trả góp 0%] Apple iPhone 14 Pro Max Chính hãng VN/A [Viettel Store]","27.890.000 ₫","Hà Nội"
"Điện thoại Samsung Galaxy Galaxy S23 8GB/256GB - Độc quyền Online","21.989.800 ₫","Hồ Chí Minh"
"[Độc quyền Voucher Rewards 10%] Điện thoại Samsung Galaxy Z Flip 5 (8GB/512GB) - Độc quyền Online","25.990.000 ₫","Hồ Chí Minh"
"Điện thoại Tecno POVA 5 (8+8)/256GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HZ - Hàng Chính Hãng - Bảo hành 13 Tháng","4.690.000 ₫","Hồ Chí Minh"
"[Độc quyền Voucher Rewards 10%] Điện thoại Samsung Galaxy Fold 5 12GB/512GB - Độc quyền online","40.990.000 ₫","Hồ Chí Minh"
"Điện thoại Samsung Galaxy Galaxy S23+ 8GB/256GB - Độc quyền Online","23.989.600 ₫","Hồ Chí Minh"
"[8.8 Giá chỉ 2335k] Điện Thoại Infinix Hot 30i 4GB/128GB - Hàng Chính Hãng","2.650.000 ₫","Hồ Chí Minh"
"[Giá chỉ 4710k khi thanh toán] Điện Thoại realme C55 (8GB/256GB) - Hàng Chính Hãng Trả Góp 0% Miễn Phí Vận Chuyển","5.249.000 ₫","Hồ Chí Minh"
